,percent_cdna_longer_than_400bp,rna_amplification_pass_fail,amplified_quantity_ng,cell_specimen_project,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
167,0.542,Pass,9.640854047000001,mIVSCC-MET,0.5897301770000001,True
168,0.494,Fail,8.340050301,mIVSCC-MET,0.988111517,True
169,0.748075577,Pass,9.555,T301x,0.773496702,True
170,0.607,Pass,16.66658005,mIVSCC-MET,0.895550637,True
171,0.675,Pass,16.68455613,mIVSCC-MET,0.6255474329999999,True
172,0.818118467,Pass,4.305,T301x,0.647729838,True
173,0.484,Pass,14.40620837,mIVSCC-MET,0.952372129,True
174,0.585223116,Pass,5.646,T301x,0.8271059940000001,True
175,0.748,Pass,12.90266719,mIVSCC-MET,0.9048378709999999,True
176,0.675,Pass,7.248383919,mIVSCC-MET,0.806346571,True
177,0.6920000000000001,Pass,8.528471467000001,mIVSCC-MET,0.745299438,True
178,0.67,Pass,15.20798349,mIVSCC-MET,0.8418251059999999,True
179,0.7240000000000001,Pass,23.59636681,mIVSCC-MET,0.777871168,True
180,0.68,Pass,31.00180941,mIVSCC-MET,0.683764521,True
181,0.721,Pass,9.483944007,mIVSCC-MET,0.866107173,True
182,0.7020000000000001,Pass,6.581773307000001,mIVSCC-MET,0.7063663720000001,True
183,,Pass,,T301,0.361555199,False
184,0.486,Pass,2.6398307130000003,mIVSCC-MET,0.487481703,True
185,0.61,Pass,13.13078558,mIVSCC-MET,0.8708672270000001,True
186,0.511,Pass,25.36687121,mIVSCC-MET,0.7747046540000001,True
187,0.305,Fail,8.719504661,mIVSCC-MET,0.789138647,True
188,0.5920000000000001,Pass,10.57718069,mIVSCC-MET,0.966165385,True
189,0.703,Pass,9.763837886000001,mIVSCC-MET,0.900362454,True
190,0.491,Pass,8.942858686000001,mIVSCC-MET,0.859305323,True
191,0.754,Pass,12.74573749,mIVSCC-MET,1.066323767,True
192,0.667,Pass,19.98380698,mIVSCC-MET,0.93389683,True
193,0.659,Pass,15.3715985,mIVSCC-MET,0.9156365190000001,True
194,0.64,Pass,10.75012414,mIVSCC-MET,0.766789064,True
195,0.5539999999999999,Pass,6.0171042020000005,mIVSCC-MET,0.7520448390000001,True
196,0.711,Pass,8.088900892,mIVSCC-MET,0.873912609,True
197,0.624,Pass,9.358648883999999,mIVSCC-MET,0.822905654,True
198,0.647,Pass,10.49590875,mIVSCC-MET,0.728687658,True
199,0.654,Pass,8.098731374,mIVSCC-MET,0.840727496,True
200,0.6893739440000001,Pass,26.685,T301x,0.873471819,True
201,0.816325902,Pass,15.945,T301x,0.919827651,True
202,0.646455807,Pass,11.19,T301x,0.688136638,True
203,0.784735854,Pass,16.8,T301x,0.899697035,True
204,0.8528393190000001,Pass,16.305,T301x,0.788010172,True
205,0.405,Pass,23.55570991,mIVSCC-MET,0.7129269140000001,True
206,0.73,Pass,19.3020684,mIVSCC-MET,0.815689636,True
207,0.6679999999999999,Pass,18.04451025,mIVSCC-MET,0.792858085,True
208,0.897,Pass,8.276104256,mIVSCC-MET,0.86139954,True
209,0.7070000000000001,Pass,12.84656774,mIVSCC-MET,0.958798307,True
210,0.562,Pass,15.043838399999999,mIVSCC-MET,0.822551908,True
211,0.698,Pass,27.01827484,mIVSCC-MET,0.698410462,True
212,0.64,Pass,13.45173564,mIVSCC-MET,0.748373535,True
213,0.5579999999999999,Pass,17.02688693,T301x,0.911837125,True
214,0.736,Pass,14.56159377,mIVSCC-MET,0.920820375,True
215,0.615,Pass,12.878422,mIVSCC-MET,0.956794855,True
216,0.293,Pass,9.161624276,mIVSCC-MET,0.7781640000000001,True
217,0.434,Pass,33.57422661,mIVSCC-MET,0.723435873,True
218,0.696,Pass,12.68047853,mIVSCC-MET,0.777079135,True
219,0.7509999999999999,Pass,14.23727329,mIVSCC-MET,0.824643703,True
220,0.715,Pass,11.40981249,mIVSCC-MET,0.9519737840000001,True
