,percent_cdna_longer_than_400bp,rna_amplification_pass_fail,amplified_quantity_ng,cell_specimen_project,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
5704,0.467,Fail,0.631204333,mIVSCC-MET,0.6960122120000001,True
5707,0.36700000000000005,Fail,6.938158408,mIVSCC-METx,0.6749593229999999,True
5719,0.382,Fail,13.68859299,mIVSCC-MET,0.714710119,True
5964,0.4,Fail,12.00532961,mIVSCC-MET,0.682268152,True
6053,0.18899999999999997,Fail,13.33948331,mIVSCC-MET,0.991427125,True
6094,0.541,Fail,5.478717232999999,mIVSCC-MET,0.734786355,True
6102,0.513,Fail,4.573622124,mIVSCC-MET,0.428117807,True
6113,0.34,Fail,3.423111647,mIVSCC-MET,0.607050591,True
6115,0.46299999999999997,Fail,9.301539972999999,mIVSCC-MET,0.643057002,True
6117,0.51,Fail,3.820925828,mIVSCC-MET,0.566280111,True
6132,0.366,Fail,7.415979202999999,mIVSCC-MET,0.546799379,True
6135,0.245,Fail,19.55391645,mIVSCC-MET,0.670710711,True
6137,0.595,Fail,6.186251682000001,mIVSCC-MET,0.8430950909999999,True
6154,0.415,Fail,6.794332227000001,mIVSCC-MET,0.631296414,True
6155,0.431,Fail,2.749597327,mIVSCC-MET,0.5657458329999999,True
6179,0.317,Fail,19.53342665,mIVSCC-MET,0.7747373129999999,True
6197,0.47700000000000004,Fail,5.158261223,mIVSCC-MET,0.41940286200000004,True
6219,0.35600000000000004,Fail,3.960845737,mIVSCC-MET,0.426849873,True
6232,0.526,Fail,2.533353991,mIVSCC-MET,0.5203924879999999,True
6246,0.375,Fail,16.568924900000003,mIVSCC-MET,1.032612932,True
6265,0.45799999999999996,Fail,8.771874816,mIVSCC-MET,0.60407185,True
6281,0.363,Fail,6.9526837089999995,mIVSCC-MET,0.8579491990000001,True
6344,0.462,Fail,5.388828351,mIVSCC-MET,0.775284097,True
6424,0.27399999999999997,Fail,18.52735112,mIVSCC-MET,0.835252071,True
6455,0.382,Fail,4.61069275,mIVSCC-MET,0.507302499,True
6467,0.289,Fail,11.00770593,mIVSCC-MET,0.7146646870000001,True
6472,0.389,Fail,74.71545077,mIVSCC-MET,1.020089154,True
6490,0.142,Fail,105.110422,mIVSCC-MET,0.793327502,True
