date,sample_id,Data,postPatch,percent_cdna_longer_than_400bp,amplified_quantity_ng,Genes.Detected.CPM,Tree_call,marker_sum_norm_label,Total_time,Total_time_min,Total_time_bins
171003,PBS4_171003_506_A01,Production,nucleus_present,0.735,11.62331905,6561,Core,0.8805191005634799,421.0,7.016666666666667,5-10
171004,PAS4_171004_452_A01,Production,nucleus_present,0.6729999999999999,24.08349396,8543,Core,0.8887697738707241,578.0,9.633333333333333,5-10
171004,P9S4_171004_405_A01,Production,nucleus_present,0.69,13.01280828,5596,PoorQ,0.7511572276573449,455.0,7.583333333333333,5-10
171004,P8S4_171004_357_A01,Production,nucleus_present,0.5710000000000001,7.7425093579999995,4922,Core,0.76736282811159,496.0,8.266666666666667,5-10
171004,P9S4_171004_411_A01,Production,nucleus_absent,0.457,6.79431829,3502,PoorQ,0.519115192022348,381.0,6.35,5-10
171004,PBS4_171004_504_A01,Production,nucleus_present,0.441,31.94180443,8792,Core,0.7809078268997378,624.0,10.4,10-15
171004,P8S4_171004_358_A01,Production,nucleus_present,0.491,11.37179904,5639,I2,0.8924169241543422,657.0,10.95,10-15
171004,P2S4_171004_052_A01,Production,nucleus_present,0.413,25.959965,6846,Core,0.7983478941804251,484.0,8.066666666666666,5-10
171004,P9S4_171004_407_A01,Production,nucleus_present,0.589,12.66057194,5953,Core,0.7735393559424549,389.0,6.483333333333333,5-10
171004,P2S4_171004_056_A01,Production,nucleus_present,0.535,12.17192968,5527,Core,0.686888873940494,411.0,6.85,5-10
171004,P8S4_171004_353_A01,Production,nucleus_present,0.615,10.38537927,6268,I1,1.07967487379156,685.0,11.416666666666666,10-15
171004,P8S4_171004_359_A01,Production,nucleus_present,0.598,10.35585634,6136,Core,0.973149569770114,636.0,10.6,10-15
171004,PAS4_171004_453_A01,Production,nucleus_present,0.456,19.46909281,6048,Core,0.916846169658592,861.0,14.35,10-15
171004,P2S4_171004_054_A01,Production,nucleus_absent,0.34600000000000003,5.6415711029999995,2489,PoorQ,0.330588284969138,440.0,7.333333333333333,5-10
171004,P2S4_171004_058_A01,Production,nucleus_present,0.5529999999999999,28.06603625,8634,Core,0.699615344313357,446.0,7.433333333333334,5-10
171004,P9S4_171004_406_A01,Production,nucleus_present,0.47600000000000003,11.02961352,5054,Core,0.526778962236674,337.0,5.616666666666666,5-10
171004,P9S4_171004_410_A01,Production,nucleus_present,0.598,16.95156954,6532,Core,0.8723781387467758,426.0,7.1,5-10
171004,PBS4_171004_503_A01,Production,nucleus_present,0.49200000000000005,41.11069209,9404,I1,0.872436650498254,533.0,8.883333333333333,5-10
171004,P8S4_171004_355_A01,Production,nucleus_absent,0.303,6.699889064,3471,PoorQ,0.307202575165201,561.0,9.35,5-10
171004,P2S4_171004_057_A01,Production,nucleus_absent,0.5329999999999999,15.27194341,6027,Core,0.8196791458489001,383.0,6.383333333333334,5-10
171004,P9S4_171004_408_A01,Production,nucleus_absent,0.42,7.7430177570000005,3379,PoorQ,0.14746347542736302,673.0,11.216666666666667,10-15
171004,PBS4_171004_502_A01,Production,nucleus_absent,0.39,7.197976186,4068,PoorQ,0.24821156176152698,515.0,8.583333333333334,5-10
171004,P8S4_171004_352_A01,Production,nucleus_present,0.52,15.39369827,6406,I1,1.00851615321098,566.0,9.433333333333334,5-10
171004,P2S4_171004_053_A01,Production,nucleus_absent,0.275,6.30029361,1896,PoorQ,0.18428015055934802,563.0,9.383333333333333,5-10
171004,PBS4_171004_501_A01,Production,nucleus_present,0.54,13.82512924,6055,Core,0.5503844554886371,759.0,12.65,10-15
171004,P9S4_171004_402_A01,Production,nucleus_absent,0.2,14.62775159,3525,PoorQ,0.24842426297943201,501.0,8.35,5-10
171004,P9S4_171004_409_A01,Production,nucleus_present,0.6940000000000001,12.31972218,6228,Core,0.889224712388718,341.0,5.683333333333334,5-10
171004,P8S4_171004_351_A01,Production,nucleus_present,0.565,8.725989752,5299,I1,1.04562169223435,558.0,9.3,5-10
171004,P8S4_171004_354_A01,Production,nucleus_present,0.49,4.185312558,4163,Core,0.693255631335234,626.0,10.433333333333334,10-15
171004,P9S4_171004_401_A01,Production,nucleus_present,0.6729999999999999,21.35685697,7499,Core,1.02673784594564,397.0,6.616666666666666,5-10
171004,P2S4_171004_055_A01,Production,nucleus_absent,0.18899999999999997,47.66349723,6367,PoorQ,0.6076356307815429,407.0,6.783333333333333,5-10
171004,P9S4_171004_403_A01,Production,nucleus_present,0.695,8.739101367,3924,Core,0.4696360392591839,529.0,8.816666666666666,5-10
171004,P8S4_171004_356_A01,Production,nucleus_absent,0.539,4.156101219,2898,PoorQ,0.11143291152187901,922.0,15.366666666666667,15-20
171004,P9S4_171004_404_A01,Production,nucleus_present,0.5920000000000001,16.94447153,6608,Core,0.6871392238523909,394.0,6.566666666666666,5-10
171004,PAS4_171004_451_A01,Production,nucleus_present,0.6890000000000001,21.08057859,7643,I1,0.9124517626012578,793.0,13.216666666666667,10-15
171005,P8S4_171005_351_A01,Production,nucleus_absent,0.47700000000000004,11.64614371,5720,PoorQ,0.280652806897671,624.0,10.4,10-15
171005,P9S4_171005_402_A01,Production,nucleus_absent,0.452,22.92607573,5588,PoorQ,0.300595192992415,400.0,6.666666666666667,5-10
171005,PBS4_171005_501_A01,Production,nucleus_present,0.61,19.615748,7227,Core,0.911528965652615,551.0,9.183333333333334,5-10
171005,P2S4_171005_052_A01,Production,nucleus_present,0.40700000000000003,11.28377363,4814,PoorQ,0.49131030513940704,393.0,6.55,5-10
171005,P8S4_171005_352_A01,Production,nucleus_present,0.6629999999999999,15.91365081,6154,Core,0.9074019375791099,480.0,8.0,5-10
171005,PAS4_171005_451_A01,Production,nucleus_absent,0.502,9.243254528,3909,I1,0.42953829707215,724.0,12.066666666666666,10-15
171005,PBS4_171005_504_A01,Production,nucleus_absent,0.295,21.6977185,5769,I2,0.5193540587036061,635.0,10.583333333333334,10-15
171005,PBS4_171005_503_A01,Production,nucleus_absent,0.397,21.6339461,7804,Core,0.7913467563503721,506.0,8.433333333333334,5-10
171005,P9S4_171005_401_A01,Production,nucleus_present,0.5760000000000001,11.02486726,4378,Core,0.9584501332894381,386.0,6.433333333333334,5-10
171005,PBS4_171005_502_A01,Production,nucleus_present,0.366,15.58693817,4982,PoorQ,0.605895026172316,537.0,8.95,5-10
171005,PAS4_171005_452_A01,Production,nucleus_present,0.7240000000000001,15.61545595,7130,I2,0.8700717071003079,722.0,12.033333333333333,10-15
171005,P2S4_171005_051_A01,Production,nucleus_present,0.43700000000000006,29.41218569,8606,Core,0.900071737716011,420.0,7.0,5-10
171005,P2S4_171005_055_A01,Production,nucleus_absent,0.491,31.30196072,8250,Core,0.892601938068212,472.0,7.866666666666666,5-10
