date,organism_name,name,extraction.endPipetteR,extraction.postPatch,rigOperator,status,roi_major,roi_minor,container,p_container
2020-01-30 10:07:40 -0800,Mouse,Sst-IRES-Cre;Ai14-508744.07.06.03,3600.0,nucleus_present,ramr,SUCCESS,ORB,layer 5,PAS4_200130_453_A01,PAS4
2020-01-30 11:07:49 -0800,Mouse,Sst-IRES-Cre;Ai14-508744.09.06.02,1000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200130_352_A01,P8S4
2020-01-30 11:07:49 -0800,Mouse,Sst-IRES-Cre;Ai14-508744.09.06.01,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200130_351_A01,P8S4
2020-01-30 13:07:12 -0800,Mouse,Slc17a8-iCre;Ai14-508388.10.01.01,200.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 2/3,PFS4_200130_701_A01,PFS4
2020-01-30 13:24:54 -0800,Mouse,Slc17a8-iCre;Ai14-508388.11.01.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200130_353_A01,P8S4
2020-01-30 13:24:54 -0800,Mouse,Slc17a8-iCre;Ai14-508388.11.01.02,400.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200130_354_A01,P8S4
2020-01-30 13:36:52 -0800,Mouse,Slc17a8-iCre;Ai14-508388.07.01.02,5000.0,nucleus_present,katherineb,SUCCESS,RSPv,layer 2/3,PES4_200130_653_A01,PES4
2020-01-30 13:36:52 -0800,Mouse,Slc17a8-iCre;Ai14-508388.07.01.01,5000.0,nucleus_present,katherineb,SUCCESS,RSPv,layer 5,PES4_200130_652_A01,PES4
2020-01-30 13:49:31 -0800,Mouse,Slc17a8-iCre;Ai14-508388.08.01.01,3500.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200130_454_A01,PAS4
2020-01-30 14:43:48 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508088-Ai65.04.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 2/3,P8S4_200130_355_A01,P8S4
2020-01-30 14:43:48 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508088-Ai65.04.02.02,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 2/3,P8S4_200130_356_A01,P8S4
2020-01-30 15:37:44 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508088-Ai65.01.02.01,1400.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200130_455_A01,PAS4
2020-01-31 09:54:03 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.08.06.02,2000.0,nucleus_present,jessicat,SUCCESS,ORB,layer 5,PFS4_200131_701_A01,PFS4
2020-01-31 09:54:03 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.08.06.03,3000.0,nucleus_present,jessicat,SUCCESS,ORB,layer 6a,PFS4_200131_702_A01,PFS4
2020-01-31 10:12:41 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.07.06.01,2000.0,nucleus_present,katherineb,SUCCESS,CTXsp,CLA,PES4_200131_651_A01,PES4
2020-01-31 10:12:41 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.07.06.02,2000.0,nucleus_present,katherineb,SUCCESS,ORB,layer 5,PES4_200131_652_A01,PES4
2020-01-31 10:21:49 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.09.06.02,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200131_352_A01,P8S4
2020-01-31 10:21:49 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.09.06.01,50.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200131_351_A01,P8S4
2020-01-31 10:26:27 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.10.06.02,2800.0,nucleus_present,ramr,SUCCESS,ORB,layer 5,PAS4_200131_451_A01,PAS4
2020-01-31 12:48:43 -0800,Mouse,Slc17a8-iCre;Ai14-508389.10.01.01,5000.0,nucleus_present,kristenh,SUCCESS,RSPv,layer 5,P1S4_200131_001_A01,P1S4
2020-01-31 13:19:38 -0800,Mouse,Slc17a8-iCre;Ai14-508389.08.01.05,3000.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 6a,PFS4_200131_706_A01,PFS4
2020-01-31 13:19:38 -0800,Mouse,Slc17a8-iCre;Ai14-508389.08.01.04,4000.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 5,PFS4_200131_705_A01,PFS4
2020-01-31 13:19:38 -0800,Mouse,Slc17a8-iCre;Ai14-508389.08.01.01,2000.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200131_703_A01,PFS4
2020-01-31 13:19:38 -0800,Mouse,Slc17a8-iCre;Ai14-508389.08.01.03,1500.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200131_704_A01,PFS4
2020-01-31 13:28:41 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.11.06.01,1600.0,nucleus_present,ramr,SUCCESS,CTXsp,CLA,PAS4_200131_452_A01,PAS4
2020-01-31 13:31:13 -0800,Mouse,Slc17a8-iCre;Ai14-508389.09.01.02,60.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200131_354_A01,P8S4
2020-01-31 13:31:13 -0800,Mouse,Slc17a8-iCre;Ai14-508389.09.01.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200131_353_A01,P8S4
2020-01-31 14:04:36 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.04.01.02,11.0,nucleus_present,kristenh,SUCCESS,RSPd,layer 2/3,P1S4_200131_002_A01,P1S4
2020-01-31 14:34:57 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.03.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 2/3,P8S4_200131_355_A01,P8S4
2020-01-31 15:06:21 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.04.02.01,3700.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200131_453_A01,PAS4
2020-01-31 15:31:37 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.02.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 2/3,P8S4_200131_356_A01,P8S4
2020-01-31 15:49:21 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.03.01.02,2000.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 2/3,PFS4_200131_707_A01,PFS4
2020-01-31 16:15:03 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.02.01.01,2000.0,nucleus_present,katherineb,SUCCESS,RSPv,layer 5,PES4_200131_653_A01,PES4
2020-02-03 09:32:56 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.09.06.02,2000.0,nucleus_present,jessicat,SUCCESS,ORB,layer 5,PFS4_200203_701_A01,PFS4
2020-02-03 09:49:43 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.08.06.02,3300.0,nucleus_present,ramr,SUCCESS,ORB,layer 5,PAS4_200203_451_A01,PAS4
2020-02-03 10:06:43 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.06.06.01,2000.0,nucleus_present,katherineb,SUCCESS,CTXsp,CLA,PES4_200203_651_A01,PES4
2020-02-03 10:06:43 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.06.06.02,3000.0,nucleus_present,katherineb,SUCCESS,ORB,layer 2/3,PES4_200203_652_A01,PES4
2020-02-03 10:40:05 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.10.06.02,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200203_352_A01,P8S4
2020-02-03 10:40:05 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.10.06.01,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200203_351_A01,P8S4
2020-02-03 10:40:05 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.10.06.03,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200203_353_A01,P8S4
2020-02-03 11:40:32 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.05.06.01,3000.0,nucleus_present,katherineb,SUCCESS,CTXsp,CLA,PES4_200203_653_A01,PES4
2020-02-03 11:40:32 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.05.06.02,3000.0,nucleus_present,katherineb,SUCCESS,ORB,layer 2/3,PES4_200203_654_A01,PES4
2020-02-03 12:28:33 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.07.09.03,2300.0,nucleus_present,ramr,SUCCESS,RSPv,layer 2/3,PAS4_200203_454_A01,PAS4
2020-02-03 12:28:33 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.07.09.02,2500.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200203_453_A01,PAS4
2020-02-03 12:28:33 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.07.09.01,1600.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200203_452_A01,PAS4
2020-02-03 13:23:30 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.09.09.02,3000.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 2/3,PFS4_200203_703_A01,PFS4
