,name,id,container_date,id,specimen_id,rheobase_sweep_id,thumbnail_sweep_id,vrest,ri,sag,vm_for_sag,tau,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,upstroke_downstroke_ratio_long_square,peak_v_ramp,peak_t_ramp,peak_v_short_square,peak_t_short_square,peak_v_long_square,peak_t_long_square,trough_v_ramp,trough_t_ramp,trough_v_short_square,trough_t_short_square,trough_v_long_square,trough_t_long_square,fast_trough_v_ramp,fast_trough_t_ramp,fast_trough_v_short_square,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_t_long_square,slow_trough_v_ramp,slow_trough_t_ramp,slow_trough_v_short_square,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_t_long_square,threshold_v_ramp,threshold_v_short_square,threshold_v_long_square,threshold_i_ramp,threshold_i_short_square,threshold_i_long_square,threshold_t_ramp,threshold_t_short_square,threshold_t_long_square,adaptation,latency,avg_isi,f_i_curve_slope,has_burst,has_pause,has_delay,created_at,updated_at
10,H19.03.305.11.05.01.04,833800557.0,190305,833800557.0,832599051.0,833793877.0,833793883.0,-60.04844411214193,290.61293601989746,0.3542232811450958,-93.5687484741211,15.631945679917633,2.5761393688303666,2.0454980169616337,2.472253953025828,28.818748474121094,2.222213333333334,21.1875,0.5037800000000001,27.556249618530273,0.6169800000000001,-41.30624771118164,2.24856,-60.599998474121094,0.77658,-43.83124923706055,0.6534800000000001,-39.9666633605957,2.2243133333333334,-41.70000076293945,0.5052800000000001,-40.40625,0.61892,-41.30625025431315,2.24856,,,,,-31.883331298828125,-37.54999923706055,-33.16875076293945,43.125,300.0,40.0,2.2216800000000005,0.5033400000000001,0.6164600000000001,0.1390940996350628,0.015699999999999936,84.25333333333334,0.2470588235294119,,,,2019-03-07 18:15:55.805638,2019-03-07 18:15:55.805638
11,H19.03.305.11.04.01.04,833823523.0,190305,833823523.0,832635407.0,833805377.0,833805383.0,-61.96751047770182,423.93746972084045,0.1286623626947403,-101.39374542236328,15.320630544688129,2.8053347906362913,2.55234236325682,2.731710061875182,23.660415649414062,1.2365466666666667,19.982290267944336,0.50455,20.693750381469727,0.5705800000000001,-56.5604133605957,1.2532733333333335,-64.73854064941406,0.7059433333333335,-54.96875,0.5867800000000001,-52.914581298828125,1.2397600000000002,-54.08749771118164,0.5072566666666667,-51.33749771118164,0.57342,-56.56041590372721,1.2532733333333335,,,-54.96875,0.5867800000000001,-37.24583435058594,-39.68541653951009,-37.349998474121094,18.5,170.0,20.0,1.2360066666666667,0.5040866666666667,0.5700600000000001,0.012388274717689114,0.010179999999999967,30.981290322580648,0.5720588235294115,,,,2019-03-07 18:29:46.277917,2019-03-07 18:29:46.277917
12,H18.03.004.11.11.01,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,H18.03.004.11.12.01,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,H18.03.004.11.11.03,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,H18.03.004.11.13.03,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,H18.03.004.11.12.02,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,H18.03.004.11.11.04,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,H18.03.004.11.13.04,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,H18.03.004.11.14.04,,180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
