b'patched_cell_container',b'name',b'id',b'container_date',b'specimen_id',b'rheobase_sweep_id',b'thumbnail_sweep_id',b'vrest',b'ri',b'sag',b'vm_for_sag',b'tau',b'upstroke_downstroke_ratio_ramp',b'upstroke_downstroke_ratio_short_square',b'upstroke_downstroke_ratio_long_square',b'peak_v_ramp',b'peak_t_ramp',b'peak_v_short_square',b'peak_t_short_square',b'peak_v_long_square',b'peak_t_long_square',b'trough_v_ramp',b'trough_t_ramp',b'trough_v_short_square',b'trough_t_short_square',b'trough_v_long_square',b'trough_t_long_square',b'fast_trough_v_ramp',b'fast_trough_t_ramp',b'fast_trough_v_short_square',b'fast_trough_t_short_square',b'fast_trough_v_long_square',b'fast_trough_t_long_square',b'slow_trough_v_ramp',b'slow_trough_t_ramp',b'slow_trough_v_short_square',b'slow_trough_t_short_square',b'slow_trough_v_long_square',b'slow_trough_t_long_square',b'threshold_v_ramp',b'threshold_v_short_square',b'threshold_v_long_square',b'threshold_i_ramp',b'threshold_i_short_square',b'threshold_i_long_square',b'threshold_t_ramp',b'threshold_t_short_square',b'threshold_t_long_square',b'adaptation',b'latency',b'avg_isi',b'f_i_curve_slope',b'has_burst',b'has_pause',b'has_delay',b'created_at',b'updated_at'
PES4_200113_652_A01,Rbp4-Cre_KL100;Ai14-506065.05.06.01,999839052.0,200113,999802566.0,999821303.0,999821306.0,-76.79246317545572,79.34372127056122,0.05242926999926567,-85.91874694824219,19.65443008871873,4.168419604260742,4.995677144918573,4.712491446507162,49.9083366394043,13.456366666666668,51.412498474121094,0.5036400000000001,50.375,0.6688200000000001,-48.99374771118164,13.491353333333336,-77.11249542236328,0.8328000000000001,-55.67499923706055,0.7776400000000001,-42.97916793823242,13.46024,-42.61874771118164,0.50626,-41.83749771118164,0.6719400000000001,-48.9937489827474,13.491353333333336,,,,,-29.810415267944336,-44.0,-34.287498474121094,323.9166564941406,1730.0,190.0,13.455846666666668,0.5032000000000001,0.66834,,0.07657999999999998,18.63999999999999,0.054690026954177906,,,,2020-01-13 21:35:05.211226,2020-01-13 21:35:05.211226
PES4_200113_653_A01,Rbp4-Cre_KL100;Ai14-506065.05.06.02,999839097.0,200113,999815037.0,999821337.0,999821340.0,-74.04762649536133,100.06244480609894,0.059048064053058624,-85.5875015258789,28.463858797987903,4.891507618915607,5.1704881580106585,5.2956909417517615,41.78333282470703,5.203120000000001,42.89374923706055,0.50368,41.24374771118164,0.7311200000000001,-57.297916412353516,5.268126666666667,-74.69999694824219,0.7809800000000001,-57.77499771118164,0.82954,-48.91875076293945,5.2079200000000005,-51.60625076293945,0.5070800000000001,-48.099998474121094,0.7357600000000001,-57.29791514078776,5.268126666666667,,,-57.77499771118164,0.82954,-35.381248474121094,-46.24374771118164,-37.60625076293945,117.625,1360.0,110.0,5.202613333333335,0.5032200000000001,0.7306000000000001,0.1054155894388304,0.09697999999999996,141.63666666666666,0.1,,,,2020-01-13 21:35:33.002306,2020-01-13 21:35:33.002306
P8S4_200113_354_A01,Esr2-IRES2-Cre;Ai14-506383.04.02.01,999868341.0,200113,999837256.0,999858209.0,999858212.0,-72.36815408559946,204.81254160404205,0.07000912725925446,-98.6937484741211,17.839744674731985,1.557066850851277,1.9286403025707997,1.7491154502777382,30.628747940063477,4.325360000000001,26.25,0.5036,26.600000381469727,0.65192,-60.16749954223633,4.326704,-72.90625,0.9290400000000002,-59.14374923706055,0.65336,-60.071250915527344,4.326576,-60.57500076293945,0.50502,-59.07500076293945,0.6532000000000001,,,,,,,-31.943750381469727,-42.0,-35.756248474121094,95.67500305175781,430.0,52.0,4.324892,0.5031800000000001,0.6514800000000001,0.03335645420217196,0.028679999999999928,45.64842105263158,0.44104477611940285,,,,2020-01-13 22:54:13.633613,2020-01-13 22:54:13.633613
PFS4_200113_703_A01,Esr2-IRES2-Cre;Ai14-506383.06.01.01,999857665.0,200113,999837390.0,999847585.0,999847588.0,-69.11347545276989,89.81247246265411,0.16204649209976196,-78.59375,17.212625981461066,3.281405043580113,3.065277227757048,3.3568367327391098,42.3125,7.250346666666668,36.67499923706055,0.5037400000000001,40.51874923706055,0.6596400000000001,-42.81874465942383,7.252833333333334,-71.15625,0.5933800000000001,-41.99374771118164,0.6619800000000001,-42.51874923706055,7.25234,-49.54999923706055,0.5055000000000001,-41.537498474121094,0.6614800000000001,,,,,,,-40.22291564941406,-44.912498474121094,-41.84375,168.7916717529297,1070.0,150.0,7.24982,0.50326,0.6591000000000001,0.05838680859307758,0.05879999999999996,130.23,0.10344827586206899,,,,2020-01-13 22:27:27.818277,2020-01-13 22:27:27.818277
P8S4_200113_355_A01,Esr2-IRES2-Cre;Ai14-506383.04.02.02,999868235.0,200113,999844949.0,999858278.0,999858280.0,-64.37532102144681,233.68747532367706,0.11329951882362366,-96.78125,30.51544600997149,3.5148874426274133,3.638986459274928,3.7156615359872163,49.42916488647461,2.816326666666667,49.76093673706055,0.50346,50.85625076293945,0.9787200000000001,-52.93333053588867,2.8457666666666666,-64.43437194824219,1.12676,-54.92499923706055,1.02604,-44.00416564941406,2.820373333333333,-44.537498474121094,0.50626,-43.04375076293945,0.9821800000000002,-52.93333180745443,2.8457666666666666,,,,,-31.854164123535156,-38.1796875,-33.818748474121094,57.95833206176758,550.0,26.0,2.81584,0.50304,0.9782400000000001,0.09743771611743783,0.03625999999999996,103.536,0.1137483206448724,,,,2020-01-13 22:53:22.026398,2020-01-13 22:53:22.026398
P8S4_200113_356_A01,Esr2-IRES2-Cre;Ai14-506383.04.02.03,999868243.0,200113,999853927.0,999858174.0,999858176.0,-80.19436714865945,57.619452476501465,0.06430035084486008,-88.8812484741211,12.810372200750912,4.2376649975932965,4.446042078549163,4.415005861331448,53.6895866394043,8.609493333333335,53.9375,0.50348,53.93124771118164,0.6821,-52.016666412353516,8.638520000000002,-80.70624542236328,1.4552,-52.20000076293945,0.7179400000000001,-43.516666412353516,8.61242,-47.26874923706055,0.5055200000000001,-43.724998474121094,0.6851200000000001,-52.016666412353516,8.638520000000002,,,,,-32.937496185302734,-43.256248474121094,-33.8125,202.7916717529297,1470.0,210.0,8.60908,0.5031000000000001,0.6816800000000001,0.049269650312335975,0.05911999999999995,107.5225,0.15700934579439263,,,,2020-01-13 22:53:24.604005,2020-01-13 22:53:24.604005
PFS4_200113_704_A01,Esr2-IRES2-Cre;Ai14-506383.05.01.01,999883581.0,200113,999855709.0,999876358.0,999876361.0,-60.31588641079989,122.18761444091797,0.14729224145412445,-70.4000015258789,100.42346194490047,1.2204156784059628,1.2673000950838633,1.2301500581898606,33.65625,10.02106666666667,36.53437423706055,0.5034900000000001,33.27499771118164,1.02798,-49.1875,10.021866666666668,-60.21875,0.7766600000000001,-49.29999923706055,1.02874,-49.11874771118164,10.021813333333334,-51.54999923706055,0.50424,-49.23749923706055,1.0287,,,,,,,-31.69999885559082,-37.63749694824219,-32.20000076293945,238.0833282470703,460.0,210.0,10.020660000000001,0.50312,1.02758,0.010688129754736733,0.035559999999999925,17.343636363636364,2.5397058823529415,,,,2020-01-13 23:33:17.320157,2020-01-13 23:33:17.320157
PES4_200113_654_A01,Esr2-IRES2-Cre;Ai14-506383.04.01.01,999889464.0,200113,999865931.0,999880158.0,999880162.0,-58.93283893751062,166.64062440395355,0.1569402515888214,-77.73749542236328,17.172849816385376,3.0543150130570367,1.1413366698721432,2.993740476206741,44.15208053588867,5.409513333333334,-16.620311737060547,0.50305,40.381248474121094,0.6111400000000001,-34.48749923706055,5.46152,-42.80937194824219,0.54817,-41.631248474121094,0.6808200000000001,-27.208333333333332,5.411893333333334,-41.49374961853027,0.5066200000000001,-33.77499771118164,0.6134200000000001,-34.48749923706055,5.46152,,,-41.631248474121094,0.6808200000000001,-21.097917556762695,-59.209373474121094,-29.48124885559082,122.79166412353516,700.0,80.0,5.408906666666667,0.5000150000000001,0.6105200000000001,0.05976382471928465,0.04718,93.604,0.17407407407407416,,,,2020-01-13 23:54:02.628768,2020-01-13 23:54:02.628768
PES4_200113_655_A01,Esr2-IRES2-Cre;Ai14-506383.04.01.02,999889440.0,200113,999876775.0,999880048.0,999880051.0,-80.70920333862304,131.96872174739838,0.2064802050590515,-95.76249694824219,17.590102021952053,4.46655477250926,4.393006280277249,4.319363887944818,39.733333587646484,4.203613333333334,37.631248474121094,0.50348,38.98125076293945,0.6498400000000001,-60.65625,4.3343,-82.0562515258789,0.6036800000000001,-49.068748474121094,0.6528200000000001,-50.5958366394043,4.206393333333334,-57.61874771118164,0.50546,-48.83749771118164,0.6523800000000001,-60.65625,4.3343,,,,,-46.51874923706055,-53.21875,-45.36249923706055,92.625,890.0,100.0,4.203146666666668,0.5030800000000001,0.6493800000000001,0.1154662939564252,0.049939999999999984,123.46,0.16500000000000012,,,,2020-01-13 23:53:48.088619,2020-01-13 23:53:48.088619
PAS4_200113_453_A01,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505762-Ai65.09.01.01,999895649.0,200113,999884395.0,999890537.0,999890540.0,-68.20079942183061,96.68746590614319,0.13292910158634186,-78.86249542236328,24.447166850998926,3.5545183563490994,3.3597586906176895,3.6365937115861575,44.05208206176758,5.502113333333334,40.79375076293945,0.5036200000000001,43.693748474121094,0.72306,-47.133331298828125,5.6174333333333335,-68.9625015258789,0.6699,-50.26250076293945,0.8505600000000001,-36.852081298828125,5.504306666666667,-43.33124923706055,0.5055200000000001,-36.099998474121094,0.7254200000000001,-47.13333257039388,5.6174333333333335,,,-50.26250076293945,0.8505600000000001,-34.04166793823242,-40.45000076293945,-35.28125,125.08333587646484,1420.0,120.0,5.501606666666667,0.5031800000000001,0.72252,0.10059607769035167,0.08979999999999999,127.39714285714285,0.11911764705882351,,,,2020-01-14 00:19:03.226747,2020-01-14 00:19:03.226747
PES4_200113_656_A01,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505762-Ai65.09.02.01,999903023.0,200113,999897957.0,999901666.0,999901667.0,-64.8911805834089,217.80329942703247,0.04424852132797241,-89.375,28.771473053838704,2.669600085106907,3.1234637900319986,2.990057077968479,43.22291564941406,3.6610333333333336,43.54999923706055,0.5034400000000001,44.474998474121094,0.6567000000000001,-54.08333206176758,3.6942266666666668,-64.73124694824219,0.62416,-58.29375076293945,0.7128000000000001,-42.21875,3.66332,-46.125,0.50536,-44.14374923706055,0.6589800000000001,-54.08333206176758,3.6942266666666668,,,,,-30.125,-40.506248474121094,-34.20000076293945,79.08333587646484,640.0,36.0,3.6605000000000003,0.5029800000000001,0.6562000000000001,0.14309318228885592,0.05055999999999994,173.68000000000004,0.13534952900347055,,,,2020-01-14 00:48:41.677710,2020-01-14 00:48:41.677710
P8S4_200113_357_A01,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505762-Ai65.10.02.01,999905070.0,200113,999900517.0,999903966.0,999903972.0,-70.68240465436664,98.95218163728714,0.03445490449666977,-83.69999694824219,13.375097378971121,3.50849348138961,3.9300395255920644,3.6539814985872727,46.460418701171875,7.0824533333333335,45.47916793823242,0.5033933333333334,43.256248474121094,0.5597400000000001,-54.05833435058594,7.104026666666667,-71.54582977294922,1.3472733333333335,-52.099998474121094,0.5931200000000001,-49.29375076293945,7.084300000000002,-49.0291633605957,0.5050733333333334,-47.71875,0.5615000000000001,-54.05833307902018,7.104026666666667,,,,,-39.95833206176758,-45.1270866394043,-39.76250076293945,164.625,670.0,140.0,7.082013333333333,0.5030133333333334,0.55932,0.04858805157960213,0.03633999999999993,155.4633333333333,0.16874999999999993,,,,2020-01-14 01:08:13.769352,2020-01-14 01:08:13.769352
P8S4_200113_358_A01,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505762-Ai65.10.02.02,999905054.0,200113,999903284.0,999903935.0,999903938.0,-70.41262588500976,56.250039488077164,0.1191399022936821,-77.33124542236328,4.986404548750552,1.4178041150901968,1.4614214796446858,1.4046712005213327,23.892187118530273,14.260275,23.299999237060547,0.5034200000000001,21.44999885559082,0.5742200000000001,-53.48125076293945,14.261070000000002,-70.28125,0.57886,-53.89374923706055,0.5750200000000001,-53.35469055175781,14.260975000000002,-56.76874923706055,0.5041200000000001,-53.74374771118164,0.5749200000000001,-54.61249923706055,11.191460000000001,,,,,-36.63750076293945,-42.60625076293945,-33.52499771118164,344.0625,770.0,320.0,14.259970000000003,0.50314,0.5739200000000001,0.020331328354571715,0.031359999999999943,38.6024,0.5749999999999992,,,,2020-01-14 01:08:04.665444,2020-01-14 01:08:04.665444
PAS4_200114_451_A01,Htr3a-Cre_NO152;Ai14-506092.09.06.01,1000099343.0,200114,1000015164.0,1000098914.0,1000098917.0,-74.09527206420898,183.18744003772736,0.22413159906864166,-103.40625,24.031294218376317,3.606031408668456,2.7031435244756867,3.4318400946540866,38.87749481201172,4.222036,36.77083206176758,0.5035933333333334,37.13750076293945,0.7607800000000001,-45.8125,4.35226,-73.44791412353516,1.20322,-43.38750076293945,0.7626200000000001,-39.724998474121094,4.224116,-42.38541793823242,0.5050000000000001,-43.35625076293945,0.7625400000000001,-45.81249923706055,4.35226,,,,,-33.772499084472656,-36.25625228881836,-39.287498474121094,93.07499694824219,1000.0,70.0,4.221536,0.5031533333333335,0.7603000000000001,0.427985876391489,0.06755999999999995,90.85600000000001,0.045000000000000026,,,,2020-01-14 20:49:58.297336,2020-01-14 21:17:31.450665
PFS4_200114_701_A01,Htr3a-Cre_NO152;Ai14-506092.08.06.01,1000027984.0,200114,1000018379.0,1000025372.0,1000025376.0,-68.34526270086116,201.74995064735413,0.040333326905965805,-90.51874542236328,19.725881378712295,4.918241782792777,3.3594865765083,4.298802921851292,38.85416793823242,7.704366666666668,38.23125076293945,0.5038,45.64999771118164,0.6068800000000001,-41.28750228881836,7.723,-68.2437515258789,1.05622,-42.599998474121094,0.9762800000000001,-36.93333053588867,7.708793333333333,-41.64374923706055,0.5055600000000001,-37.9375,0.6090200000000001,-41.28749974568685,7.723,,,,,-27.87708282470703,-37.8125,-33.818748474121094,180.1666717529297,790.0,130.0,7.703846666666667,0.50338,0.6064600000000001,0.2521056900170115,0.042039999999999966,68.01000000000002,0.1220588235294117,,,,2020-01-14 18:48:40.183980,2020-01-14 18:48:40.183980
PES4_200114_651_A01,Htr3a-Cre_NO152;Ai14-506092.07.06.01,,200114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAS4_200114_452_A01,Htr3a-Cre_NO152;Ai14-506092.09.06.02,1000099316.0,200114,1000035283.0,1000098879.0,1000098884.0,-74.50958633422852,161.5624576807022,0.027021082118153572,-91.32499694824219,9.448978888513045,3.091051302237417,3.686643397300408,3.6376569746505485,39.31458282470703,5.416526666666667,40.93124771118164,0.5038600000000001,42.45624923706055,0.57354,-41.48749923706055,5.419126666666667,-74.48124694824219,1.10432,-40.443748474121094,0.6014,-41.41041564941406,5.418926666666668,-56.443748474121094,0.5127800000000001,-38.32500076293945,0.5757800000000001,-40.90937423706055,5.425470000000001,,,,,-29.15625,-39.13750076293945,-29.768749237060547,122.95833587646484,490.0,130.0,5.415953333333334,0.50336,0.5730200000000001,0.5620390912047631,0.020519999999999983,199.50666666666663,0.18409090909090878,,,,2020-01-14 20:49:43.510703,2020-01-14 21:17:46.742781
PES4_200114_652_A01,Htr3a-Cre_NO152;Ai14-506092.07.06.02,1000061976.0,200114,1000046422.0,1000055143.0,1000055150.0,-74.36641693115234,112.47595399618149,0.06385121494531631,-86.95624542236328,9.761693919473839,3.8528937750136047,2.3921761415185276,4.066952171488025,30.579164505004883,5.746073333333334,28.899999618530273,0.5037200000000001,30.38749885559082,0.7105000000000001,-56.52083206176758,5.770033333333334,-74.375,0.6288600000000001,-54.05624771118164,0.7324,-51.15208435058594,5.7540000000000004,-58.29999923706055,0.5094200000000001,-49.13750076293945,0.7174800000000001,-56.520833333333336,5.770033333333334,,,-54.05624771118164,0.7324,-34.827083587646484,-37.64999771118164,-33.49374771118164,131.1666717529297,980.0,140.0,5.745406666666668,0.5031200000000001,0.70986,0.0039940457979391565,0.08095999999999992,135.20333333333332,0.1396551724137932,,,,2020-01-14 19:33:27.885470,2020-01-14 19:33:27.885470
PAS4_200114_453_A01,Htr3a-Cre_NO152;Ai14-506092.09.06.04,1000099324.0,200114,1000077043.0,1000098797.0,1000098805.0,-68.3974678733132,105.85340112447739,0.07759470492601395,-80.66874694824219,8.301628004869468,4.443748862601913,2.8131175265565256,4.364804255400769,43.89999771118164,11.427820000000002,42.83749771118164,0.5036200000000001,39.224998474121094,1.31402,-37.89374923706055,11.437780000000002,-68.5999984741211,1.37654,-42.84375,1.32588,-36.51874923706055,11.433920000000002,-56.61874771118164,0.51214,-41.40625,1.32048,-37.89374923706055,11.437780000000002,,,,,-15.618749618530273,-22.6875,-19.84375,273.25,1170.0,220.0,11.427260000000002,0.5032000000000001,1.31346,-0.030612302215010677,0.35882000000000003,191.2133333333333,0.03928571428571426,,,,2020-01-14 20:49:46.876543,2020-01-14 21:17:48.037757
